feature,importance,model
V14,0.16717340457655896,RandomForest
V4,0.13691046239953442,RandomForest
V10,0.12302484474484887,RandomForest
V12,0.09382074584850765,RandomForest
V17,0.08819808758059475,RandomForest
V16,0.0560575944359637,RandomForest
V11,0.05558322849159949,RandomForest
V3,0.05397675076653145,RandomForest
V2,0.02722135386163863,RandomForest
V9,0.021824105435430615,RandomForest
V7,0.02148775777605103,RandomForest
V21,0.018762045385191987,RandomForest
V19,0.01143164775238841,RandomForest
V18,0.01046920177770327,RandomForest
Amount,0.009498020563907547,RandomForest
V5,0.009479832700557947,RandomForest
V27,0.008948327186815704,RandomForest
V20,0.008631177515909949,RandomForest
V6,0.008025909950657625,RandomForest
V26,0.0077322609031044,RandomForest
V8,0.007610817123322774,RandomForest
V13,0.007484928035431678,RandomForest
V15,0.006707192167852429,RandomForest
V28,0.006706840191657386,RandomForest
V22,0.006087721960372813,RandomForest
V1,0.00597216772703352,RandomForest
V23,0.0057525562072951305,RandomForest
Time,0.005580622919011989,RandomForest
V25,0.005482569288108744,RandomForest
V24,0.004357824726417223,RandomForest
V14,0.2788594365119934,XGBoost
V10,0.1256837099790573,XGBoost
V4,0.07244879752397537,XGBoost
V12,0.05918268486857414,XGBoost
V20,0.04778048023581505,XGBoost
V8,0.030850008130073547,XGBoost
Amount,0.02609473280608654,XGBoost
V21,0.02550455369055271,XGBoost
V19,0.024813100695610046,XGBoost
V3,0.021659376099705696,XGBoost
V13,0.021372230723500252,XGBoost
V17,0.02130928821861744,XGBoost
V28,0.021231036633253098,XGBoost
V15,0.019546719267964363,XGBoost
V26,0.01732180081307888,XGBoost
V11,0.01636590249836445,XGBoost
V5,0.015248541720211506,XGBoost
V22,0.015067392028868198,XGBoost
V25,0.0148088363930583,XGBoost
Time,0.013989764265716076,XGBoost
V27,0.013334303162992,XGBoost
V18,0.01275103259831667,XGBoost
V6,0.012714475393295288,XGBoost
V1,0.01147035975009203,XGBoost
V9,0.01135343685746193,XGBoost
V23,0.010828766971826553,XGBoost
V2,0.01071774959564209,XGBoost
V24,0.010157669894397259,XGBoost
V7,0.010023077949881554,XGBoost
V16,0.007510798051953316,XGBoost
